题目类型,题目内容,选项A,选项B,选项C,选项D,选项E,正确答案,分值,难度,竞赛来源,标签/分类,解析
单选,近日，空中客车公司表示，约6000架空客A320系列飞机需要紧急更换一种易受太阳辐射影响的飞行控制软件。空客表示，在对一起飞行事故分析后的结果显示，强烈的太阳辐射可能会损坏飞行控制系统所需的关键数据，导致判断失误，进而引发飞行异常。那这里的飞行控制系统执行判断的部件最可能是下面的,辐射传感器,处理器,内存单元,输出设备,,B,2,简单,GESP-2025.12,一级 计算机组成,飞行控制系统执行判断的部件是处理器
单选,"下面的C++代码在某集成开发环境中编译运行时，提示有""Invalid Character""（""无效字符""）错误。可能的原因是：
int a, b;
a=3，b = 4; // L1
cout << a; // L2
cout << b; // L3",L1行代码中的逗号很可能是中文逗号，应该改为英文逗号,L1行应该分为两行，分别是a = 3和b = 4,代码运行前没有保存到文件,L2和L3不能分为两行，应合并为一行,,A,2,简单,GESP-2025.12,一级 C++语法,中文逗号和英文逗号在代码中会引起编译错误
单选,下面有关C++变量的说法，正确的是,不可以用 for 作为变量名，因为 for 是C++的关键字（保留字）,_tnt 不可以是变量名，因为变量名的第一个字符必须是英文字母,_tnt_ 不可以用作变量名，因为最后一个字符容易与减号混淆,可以用 printf 作为变量名，因为 printf 是关键字，但这不是好习惯,,A,2,简单,GESP-2025.12,一级 C++变量,for是C++关键字，不能作为变量名
单选,"X 是C++的整型变量，则 cout << (X=3, X++, ++X); 执行后的输出是",3,4,5,不确定,,C,2,中等,GESP-2025.12,一级 C++运算符 逗号表达式,逗号表达式从左到右执行，X=3后X++返回3变成4，++X返回5
单选,C++表达式 2 + 3 * 4 % 5 的值为,0,4,14,50,,B,2,简单,GESP-2025.12,一级 C++运算符 优先级,先乘除后加减：3*4%5=12%5=2，2+2=4
单选,"下面的C++代码执行后，其输出是：
a = 3;
b = a = 4;
printf(""%d %d"", a, b);",4 4,3 3,3 4,4 3,,A,2,简单,GESP-2025.12,一级 C++赋值,赋值表达式返回被赋值的值，b=a=4后a和b都是4
单选,"下面的C++代码执行时如果先输入10回车后输入20并回车，其输出是：
int N,M;
printf(""第一个数:"");
scanf(""%d"", &N);
printf(""第二个数:"");
scanf(""%d"", &M);
printf(""%%(N+M)=%d"", N+M, int(N+M));",30=30,10+20=30,% (N+M)=30,错误提示,,D,2,中等,GESP-2025.12,一级 C++格式控制 printf,%%在printf中输出为%，输出为%(N+M)=30
单选,"某个整数很长很长，形如：1232123212321……，其规律是从1开始逐一升高到3然后逐一降低到1，然后又逐一升高到3。假设最高位编号为1，要求判断从左边最高位开始的第N位数是几？横线处应该填入的代码是：
int N, M;
cout << ""请输入编号："";
cin >> N;
M = ________________;
if (M != 0) cout << M;
else cout << 2;",N % 4,N / 4,N % 3,N / 3,,C,2,中等,GESP-2025.12,一级 数列规律 取模,"数列1,2,3,2每3位一循环，N%3==0时输出2，否则输出N%3"
单选,"下面C++代码执行后的输出是：
int i, tnt = 0;
for (i = 0; i < 100; i++)
    tnt += 1;
cout << tnt << ' ' << i;",99 99,100 99,99 100,100 100,,D,2,简单,GESP-2025.12,一级 循环结构,i从0到99共100次，tnt=100，循环结束后i=100
单选,"有关下面C++代码的说法，错误的是：
int tnt = 0;
for (int i = 1; i < 10; i += 2)
    tnt += i;
cout << tnt;",L1的 i < 10 改为 i < 11 结果相同,L1的 i = 1 改为 i = 0 结果相同,tnt += i 与 tnt = tnt + i 效果相同,tnt += i 与 tnt = i + tnt 效果相同,,B,2,中等,GESP-2025.12,一级 循环结构,i从1开始1+3+5+7+9=25，i从0开始0+2+4+6+8=20，结果不同
单选,"下面C++代码执行后输出是：
int i;
for (i = 10; i < 100; i += 10){
    if (i % 10 == 0)
        continue;
    printf(""%d#"",i);
}
if(i >= 100)
    printf(""%d END"",i);",10#20#30#40#50#60#70#80#90#100 END,100#100 END,100 END,没有输出,,C,2,中等,GESP-2025.12,一级 循环 continue,i每次+10均能被10整除，continue跳过输出，循环结束i=100
